3D打印在服饰中的运用,['郝悦'],现代工业经济和信息化,2021-08-30,期刊,,162
3D打印成型工艺及材料应用研究进展,"['刘梦梦', '朱晓冬']",机械研究与应用,2021-08-30,期刊,,906
3D打印技术在金属文物复制中的应用——以中国国家博物馆馆藏鎏金铜观音造像、双兽首三轮盘的仿制为例,['张鹏宇'],博物院,2021-08-28,期刊,,46
一种利用废弃铝塑包装材料制备高导热绝缘3D打印制品的方法,['王元荪'],再生资源与循环经济,2021-08-27,期刊,,37
铸造3D打印智能工厂设计实例,"['彭凡', '田学智']",现代铸铁,2021-08-25,期刊,,153
基于颅脑CTA的3D打印技术在颅内动脉瘤夹闭术中的应用,"['陈俊', '刘融', '邹雅', '周赤忠']",中国临床神经外科杂志,2021-08-25,期刊,,53
加用3D打印技术开发核燃料,"['王兴春', '张焰']",国外核新闻,2021-08-25,期刊,,16
信息化时代背景下建筑材料的技术创新——以陶瓷3D打印技术为例,['石媛'],美与时代(城市版),2021-08-25,期刊,,100
3D打印技术在中药巴布剂制备与中医精准用药中的应用进展,"['杨文婷', '林桂涛', '张伟', '张云丽', '杨一丁']",精准医学杂志,2021-08-25,期刊,,88
3D打印技术在文旅产品柔性制造中,"['赵鑫鑫', '张可荣', '韩瑞芳']",丝网印刷,2021-08-25,期刊,,16
3D打印技术在生物医学中的应用,['李元斌'],实验室研究与探索,2021-08-25,期刊,,468
3DP技术在快速铸造方面的创新应用,"['杨国梁', '杨磊']",铸造设备与工艺,2021-08-25,期刊,,69
墨水循环系统在砂型3D打印中的应用与研究,"['马利强', '刘轶', '田小柳', '王军伟', '王志刚', '', '闫涛', '周志军']",铸造设备与工艺,2021-08-25,期刊,,5
3D打印改性聚乳酸性能研究进展,"['黄斌', '刘军', '范启东']",塑料科技,2021-08-25,期刊,,211
新型塑料材料在3D打印领域的应用研究,"['万海鑫', '马思远', '尚连勇']",塑料科技,2021-08-25,期刊,,185
3D打印ABS材料表面楔形织构的摩擦性能,"['尹红泽', '陈文刚', '李镕冰', '吴华杰', '井培尧', '', '陈龙', '宋文涛', '谢永']",中国表面工程,2021-08-23,期刊,,55
基于3D打印与传统制造技术结合的四川旅游纪念品设计研发,['马世新'],旅游与摄影,2021-08-23,期刊,,18
3D打印技术在定制家具生产过程中的应用,['陈艳'],林产工业,2021-08-20,期刊,1,152
